file,folder,filename,parent_folder,beam_width,topk,use_lm,lm_backend,lm_model_name,kenlm_model_path,kenlm_normalize,lm_alpha,lm_length_penalty,max_batches,greedy_CER,greedy_WER,beam_CER,beam_WER,beam_lm_CER,beam_lm_WER,greedy_total_char_length,greedy_total_word_length,beam_total_char_length,beam_total_word_length,beam_lm_total_char_length,beam_lm_total_word_length
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100/text_gpt2xl_bw100_a06.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2xl_bw100,text_gpt2xl_bw100_a06.json,alpha_sweep_gpt2xl_bw100,100,100,True,,openai-community/gpt2-xl,,,0.6,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.15400275555738346,0.307358390682901,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a75.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a75.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,7.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1613234900985009,0.30937003705664373,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a75.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a75.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,7.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1613234900985009,0.3094759131815776,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a60.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a60.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,6.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1614057455427831,0.30958178930651137,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/text_gpt2xl_bw50_a08.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results,text_gpt2xl_bw50_a08.json,rescoring_results,50,50,True,,openai-community/gpt2-xl,,,0.8,0.0,,0.1718727508276954,0.3591318157755426,0.171153015690226,0.3594494441503441,0.15501038474984064,0.3096876654314452,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a100.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a100.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,10.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16138518168171256,0.30979354155637906,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a125.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a125.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,12.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1614057455427831,0.30989941768131285,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a50.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a50.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,5.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16142630940385366,0.3100052938062467,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a50.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a50.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,5.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1614674371259948,0.31011116993118054,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a125.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a125.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,12.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1614468732649242,0.31021704605611433,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a60.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a60.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,6.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.161549692570277,0.31021704605611433,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a150.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a150.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,15.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1615085648481359,0.31021704605611433,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a100.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a100.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,10.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16152912870920644,0.3103229221810482,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a150.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a150.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,15.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.161549692570277,0.310428798305982,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi/text_gpt2_bw50_a08.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi,text_gpt2_bw50_a08.json,alpha_sweep_gpt2_bw50_hi,50,50,True,,gpt2,,,0.8,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.15852680499290547,0.31095817893065114,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a40.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a40.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,4.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16165251187562976,0.31138168343038647,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a40.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a40.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,4.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16161138415348866,0.31138168343038647,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi/text_gpt2_bw50_a075.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi,text_gpt2_bw50_a075.json,alpha_sweep_gpt2_bw50_hi,50,50,True,,gpt2,,,0.75,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.1586501881593288,0.31148755955532026,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi/text_gpt2_bw50_a07.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi,text_gpt2_bw50_a07.json,alpha_sweep_gpt2_bw50_hi,50,50,True,,gpt2,,,0.7,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.15881469904789322,0.31254632080465855,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi/text_gpt2_bw50_a065.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi,text_gpt2_bw50_a065.json,alpha_sweep_gpt2_bw50_hi,50,50,True,,gpt2,,,0.65,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.15902033765859877,0.31339332980412915,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a30.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a30.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,3.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16224886384667586,0.31445209105346744,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi/text_gpt2_bw50_a06.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi,text_gpt2_bw50_a06.json,alpha_sweep_gpt2_bw50_hi,50,50,True,,gpt2,,,0.6,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.15947274260215097,0.3145579671784013,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a30.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a30.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,3.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16235168315202864,0.3146638433033351,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi/text_gpt2_bw50_a055.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50_hi,text_gpt2_bw50_a055.json,alpha_sweep_gpt2_bw50_hi,50,50,True,,gpt2,,,0.55,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.1595549980464332,0.31551085230280573,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50/text_gpt2_bw50_a05.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50,text_gpt2_bw50_a05.json,alpha_sweep_gpt2_bw50,50,50,True,,gpt2,,,0.5,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.15965781735178597,0.3162519851773425,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a25.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a25.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,2.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16286577967879248,0.3175224986765484,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a25.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a25.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,2.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.1629891628452158,0.3180518793012176,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50/text_gpt2_bw50_a04.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50,text_gpt2_bw50_a04.json,alpha_sweep_gpt2_bw50,50,50,True,,gpt2,,,0.4,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.1606448826831726,0.3212281630492324,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a20.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a20.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,2.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16383228114910856,0.322075172048703,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a20.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a20.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,2.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16375002570482633,0.322075172048703,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50/text_gpt2_bw50_a035.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50,text_gpt2_bw50_a035.json,alpha_sweep_gpt2_bw50,50,50,True,,gpt2,,,0.35,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.16124123465421866,0.3234515616728428,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50/text_gpt2_bw50_a03.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50,text_gpt2_bw50_a03.json,alpha_sweep_gpt2_bw50,50,50,True,,gpt2,,,0.3,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.16200209751382919,0.3269454737956591,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a15.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a15.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,1.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16488103806370685,0.3274748544203282,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a15.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a15.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,1.5,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16498385736905963,0.3278983589200635,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/text_gpt2_a025.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results,text_gpt2_a025.json,rescoring_results,50,50,True,,gpt2,,,0.25,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.16344156778876803,0.331286394917946,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50/text_gpt2_bw50_a025.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_gpt2_bw50,text_gpt2_bw50_a025.json,alpha_sweep_gpt2_bw50,50,50,True,,gpt2,,,0.25,0.0,,0.17462830821114972,0.3652726310217046,0.173785189907257,0.3638962413975648,0.16344156778876803,0.331286394917946,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100/text_kenlm5_bw100_a10.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm5_bw100,text_kenlm5_bw100_a10.json,alpha_sweep_kenlm5_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_5gram.binary,False,1.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16605317814472845,0.33425092641609316,48629,9445,48629,9445,48629,9445
/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100/text_kenlm3_bw100_a10.json,/home/lucas/projects/mamba_experiment/convmambagru_text/model_training/rescoring_results/alpha_sweep_kenlm3_bw100,text_kenlm3_bw100_a10.json,alpha_sweep_kenlm3_bw100,100,100,True,kenlm,distilgpt2,/home/lucas/projects/mamba_experiment/language_model_text/kenlm/models/text_3gram.binary,False,1.0,0.0,,0.1718727508276954,0.3591318157755426,0.17113245182915543,0.3595553202752779,0.16617656131115177,0.3346744309158285,48629,9445,48629,9445,48629,9445
